,timestamp,raw_mix.lab.measure.moisture_out,raw_mix.lab.measure.sito_009
161,2025-01-19 06:00:00,0.82,20.3
162,2025-01-19 08:00:00,0.81,22.0
163,2025-01-19 10:00:00,0.83,21.8
164,2025-01-19 12:00:00,0.79,18.6
165,2025-01-19 14:00:00,0.82,20.0
166,2025-01-19 16:00:00,0.81,21.3
167,2025-01-19 18:00:00,0.8,18.6
168,2025-01-19 20:00:00,0.82,17.0
169,2025-01-19 22:00:00,0.83,18.6
170,2025-01-20 00:00:00,0.84,20.2
171,2025-01-20 02:00:00,0.84,18.8
172,2025-01-20 04:00:00,0.82,18.0
173,2025-01-20 06:00:00,0.85,19.1
174,2025-01-20 08:00:00,0.83,20.0
175,2025-01-20 10:00:00,0.84,20.2
176,2025-01-20 12:00:00,0.82,19.3
177,2025-01-20 14:00:00,0.8,19.0
178,2025-01-20 16:00:00,0.83,17.6
179,2025-01-20 18:00:00,0.85,20.0
180,2025-01-20 20:00:00,0.84,21.4
181,2025-01-20 22:00:00,0.86,20.4
182,2025-01-21 00:00:00,0.89,21.4
183,2025-01-21 02:00:00,0.84,19.7
184,2025-01-21 04:00:00,0.88,17.8
185,2025-01-21 06:00:00,0.85,18.1
186,2025-01-21 08:00:00,0.8,15.4
187,2025-01-21 10:00:00,0.82,15.6
188,2025-01-21 12:00:00,0.85,21.8
189,2025-01-21 14:00:00,0.8,20.3
190,2025-01-21 16:00:00,0.83,21.9
191,2025-01-21 18:00:00,0.79,20.4
192,2025-01-21 20:00:00,0.83,20.6
193,2025-01-21 22:00:00,0.82,20.0
194,2025-01-22 00:00:00,0.8,19.5
195,2025-01-22 02:00:00,0.81,19.3
196,2025-01-22 04:00:00,0.84,20.2
197,2025-01-22 06:00:00,0.85,18.7
198,2025-01-22 08:00:00,0.83,20.8
199,2025-01-22 10:00:00,0.84,19.8
200,2025-01-22 12:00:00,0.84,19.7
201,2025-01-22 14:00:00,0.82,19.9
202,2025-01-22 16:00:00,0.83,18.1
203,2025-01-23 02:00:00,0.87,21.0
204,2025-01-23 04:00:00,0.84,20.4
205,2025-01-23 05:59:59,0.83,17.1
206,2025-01-23 07:59:59,0.85,16.0
207,2025-01-23 09:59:59,0.83,17.3
208,2025-01-23 11:59:59,0.81,19.2
209,2025-01-23 13:59:59,0.79,21.0
210,2025-01-23 15:59:59,0.8,20.7
211,2025-01-23 17:59:59,0.82,20.2
212,2025-01-23 19:59:59,0.84,18.0
213,2025-01-23 21:59:59,0.83,18.7
214,2025-01-23 23:59:59,0.81,19.1
215,2025-01-24 01:59:59,0.82,19.7
216,2025-01-24 03:59:59,0.84,18.1
217,2025-01-24 05:59:59,0.83,17.8
218,2025-01-24 07:59:59,0.8,19.8
219,2025-01-24 09:59:59,0.82,19.5
220,2025-01-24 11:59:59,0.84,20.0
221,2025-01-24 13:59:59,0.83,19.6
222,2025-01-24 15:59:59,0.8,17.3
223,2025-01-25 04:00:00,0.76,18.4
224,2025-01-25 06:00:00,0.79,20.9
225,2025-01-25 08:00:00,0.84,22.7
226,2025-01-25 10:00:00,0.82,22.0
227,2025-01-25 12:00:00,0.82,16.0
228,2025-01-25 16:00:00,0.83,21.0
229,2025-01-25 18:00:00,0.8,20.3
230,2025-01-25 20:00:00,0.85,16.2
231,2025-01-25 22:00:00,0.83,15.5
232,2025-01-26 00:00:00,0.8,20.6
233,2025-01-26 02:00:00,0.84,19.8
234,2025-01-26 04:00:00,0.82,19.7
235,2025-01-26 06:00:00,0.8,20.2
236,2025-01-26 08:00:00,0.82,21.1
237,2025-01-26 10:00:00,0.84,20.8
238,2025-01-26 12:00:00,0.81,19.0
239,2025-01-26 14:00:00,0.82,19.5
240,2025-01-26 16:00:00,0.83,18.3
241,2025-01-26 18:00:00,0.84,17.8
242,2025-01-26 20:00:00,0.82,19.6
243,2025-01-26 22:00:00,0.8,18.9
244,2025-01-27 00:00:00,0.77,18.7
245,2025-01-27 02:00:00,0.78,20.8
246,2025-01-27 04:00:00,0.81,21.2
247,2025-01-27 06:00:00,0.82,19.1
248,2025-01-27 08:00:00,0.78,18.0
249,2025-01-27 10:00:00,0.8,16.4
250,2025-01-27 12:00:00,0.79,20.6
251,2025-01-27 14:00:00,0.82,23.7
252,2025-01-27 16:00:00,0.8,20.8
253,2025-01-27 18:00:00,0.76,21.0
254,2025-01-27 20:00:00,0.82,17.0
255,2025-01-27 22:00:00,0.84,18.7
256,2025-01-28 00:00:00,0.81,18.5
257,2025-01-28 02:00:00,0.83,18.9
258,2025-01-28 04:00:00,0.85,19.2
259,2025-01-28 06:00:00,0.82,19.0
260,2025-01-28 12:00:00,0.84,21.5
261,2025-01-28 14:00:00,0.85,18.1
262,2025-01-28 16:00:00,0.82,18.6
263,2025-01-28 18:00:00,0.83,19.2
264,2025-01-28 20:00:00,0.79,18.0
265,2025-01-28 22:00:00,0.82,20.2
266,2025-01-29 02:00:00,0.82,19.6
267,2025-01-29 04:00:00,0.8,17.3
268,2025-01-29 06:00:00,0.81,17.6
269,2025-01-29 08:00:00,0.82,18.4
270,2025-01-29 10:00:00,0.8,21.7
271,2025-01-29 12:00:00,0.82,18.2
272,2025-01-29 14:00:00,0.8,18.8
273,2025-01-29 16:00:00,0.83,17.0
274,2025-01-29 18:00:00,0.82,16.5
275,2025-01-29 20:00:00,0.84,17.2
276,2025-01-29 22:00:00,0.82,17.5
277,2025-01-30 00:00:00,0.8,19.8
278,2025-01-30 02:00:00,0.83,20.3
279,2025-01-30 04:00:00,0.86,19.2
280,2025-01-30 06:00:00,0.83,18.5
281,2025-01-30 08:00:00,0.84,17.8
282,2025-01-30 10:00:00,0.82,20.4
283,2025-01-30 12:00:00,0.85,19.0
284,2025-01-30 14:00:00,0.83,20.6
285,2025-01-30 16:00:00,0.82,19.9
286,2025-01-30 18:00:00,0.84,20.9
287,2025-01-30 20:00:00,0.79,17.2
288,2025-01-30 22:00:00,0.82,20.9
289,2025-01-31 00:00:00,0.83,21.0
290,2025-01-31 02:00:00,0.82,20.7
291,2025-01-31 04:00:00,0.85,20.0
292,2025-01-31 20:00:00,0.86,18.2
293,2025-01-31 22:00:00,0.84,20.1
294,2025-02-01 00:00:00,0.83,21.4
295,2025-02-01 02:00:00,0.84,20.5
296,2025-02-01 04:00:00,0.82,20.2
297,2025-02-01 06:00:00,0.85,18.3
298,2025-02-01 08:00:00,0.84,19.7
299,2025-02-01 10:00:00,0.85,20.2
300,2025-02-01 12:00:00,0.82,21.3
301,2025-02-01 14:00:00,0.8,18.5
302,2025-02-01 16:00:00,0.84,19.0
303,2025-02-01 18:00:00,0.8,19.2
304,2025-02-01 20:00:00,0.79,18.0
305,2025-02-01 22:00:00,0.8,17.4
306,2025-02-02 00:00:00,0.78,20.9
307,2025-02-02 02:00:00,0.82,21.7
308,2025-02-02 04:00:00,0.81,21.3
309,2025-02-02 06:00:00,0.83,20.3
310,2025-02-02 08:00:00,0.78,18.5
311,2025-02-02 10:00:00,0.81,16.4
312,2025-02-02 12:00:00,0.84,17.0
313,2025-02-02 14:00:00,0.82,20.0
314,2025-02-02 16:00:00,0.84,21.5
315,2025-02-02 18:00:00,0.8,19.7
316,2025-02-02 20:00:00,0.82,20.4
317,2025-02-02 22:00:00,0.84,18.2
318,2025-02-03 00:00:00,0.8,19.6
319,2025-02-03 02:00:00,0.83,20.2
320,2025-02-03 04:00:00,0.81,19.9
321,2025-02-03 06:00:00,0.85,19.1
322,2025-02-03 08:00:00,0.84,17.2
323,2025-02-03 10:00:00,0.85,17.8
324,2025-02-03 12:00:00,0.83,21.4
325,2025-02-03 14:00:00,0.84,21.8
326,2025-02-03 16:00:00,0.86,20.1
327,2025-02-03 18:00:00,0.83,19.8
328,2025-02-03 20:00:00,0.84,21.1
329,2025-02-03 22:00:00,0.82,20.6
330,2025-02-04 00:00:00,0.84,17.0
331,2025-02-04 02:00:00,0.81,16.8
332,2025-02-04 04:00:00,0.8,18.7
333,2025-02-04 06:00:00,0.82,20.5
334,2025-02-04 08:00:00,0.77,21.5
