,drive.current_mean_15_len_10_shift,drive.current_mean_45_len_10_shift,drive.current_min_45_len_5_shift,drive.current_max_90_len_5_shift,raw_mix.consumption_mean_15_len_10_shift,raw_mix.consumption_min_45_len_5_shift,raw_mix.consumption_mean_300_len_30_shift,raw_mix.moisture_avg_mean_60_len_15_shift,temp.out_mean_25_len_5_shift,temp.inlet_mean_25_len_5_shift,temp.out_min_25_len_5_shift,temp.inlet_max_30_len_5_shift,raw_mix.lab.measure.sito_009
221,79.61249440511068,77.76190651787653,63.177677154541016,97.71611785888672,272.4435696750217,267.3413075764974,266.18977097323904,21.405819225311284,93.31864807128906,477.9800708007813,89.21922302246094,485.92431640625,19.6
222,76.61843414306641,76.1668702867296,54.91635513305664,87.04742431640625,269.2200238715278,268.40345662434896,269.4387327779134,21.388399124145508,94.93897369384766,471.37608642578124,90.23192596435548,494.6046142578125,17.3
229,77.09473729133606,79.25660199704377,54.67788314819336,94.80247497558594,242.9782607339745,236.8998006184896,218.07202386739326,22.331960334152473,110.99023760282077,485.3700937124399,100.0,519.2567138671875,20.3
230,79.15655040740967,80.57029807049295,68.02436828613281,98.66292572021484,266.3417709986369,264.3767822265625,240.70737780497444,22.40282949854116,92.31575892521785,483.1132119985727,85.47222137451172,506.2362365722656,16.2
231,78.4348931312561,75.38984796275263,68.03700256347656,85.31869506835938,263.47289689381915,253.49678548177084,252.41189768951736,22.426531776053007,95.5486224247859,484.55547978327826,91.44717407226562,497.38232421875,15.5
232,78.34848022460938,79.24617866847827,73.27996063232422,87.99139404296875,269.67705561319985,265.0270233154297,262.70951031049924,22.4211730331671,91.98857820951022,477.59787104679987,86.78873443603516,485.7507019042969,20.6
233,77.08643913269043,80.03814199696417,70.79258728027344,92.84947204589844,259.1770692189534,247.17064310709637,261.8379531618442,22.410271816566343,96.62754176213191,477.44429955115686,90.9408187866211,488.5284118652344,19.8
234,79.17605113983154,79.67111089955206,70.15283966064453,93.08992767333984,259.0327699025472,250.51422424316405,262.0203577030494,22.39597182977395,98.02585161649264,473.7718529334435,92.66241455078124,478.8064270019531,19.7
235,86.71448469161987,84.26690441629161,79.0046157836914,97.6873550415039,274.7413791656494,270.3785034179688,262.36776164321464,22.410413460653338,93.56995479877179,484.18155611478363,88.81414031982422,492.1741333007813,20.2
236,83.63385963439941,84.82200224503227,67.98342895507812,98.30091094970705,259.3655602137248,241.8544921875,266.0821063765588,22.436902437053742,98.83212045522836,469.4917907714844,91.8522491455078,484.5354614257813,21.1
237,82.80827045440674,83.64426505047342,53.31660842895508,96.72846221923828,230.64956532013724,221.13262532552082,266.56640664210465,22.458268556438508,90.73438336299016,359.1382135244516,61.3698616027832,410.2319030761719,20.8
238,85.29960441589355,85.89643710592519,73.48638916015625,97.72381591796876,258.09628746941,232.16777422225303,257.50957967045167,22.463349608124282,94.30221733680138,481.0232590895433,88.4090576171875,487.3131408691406,19.0
239,82.78518295288086,82.4439466725225,65.39728546142578,94.64622497558594,258.8593777338664,255.75221150716146,250.18947605236758,22.42300033569336,90.36046130840595,478.5259986290565,85.067138671875,491.4797058105469,19.5
240,68.94273495674133,72.57065797888714,52.26457977294922,102.77522277832033,250.0505345662435,246.726620126849,250.05168882142212,22.39200019836425,85.15282645592323,443.9449415940505,72.00325775146484,486.9659423828125,18.3
241,67.4403338432312,70.43194911790931,54.314491271972656,94.16839599609376,247.94316696945572,228.19783105294906,248.4749423364264,22.37262425657179,91.9301534799429,477.14382699819714,85.16840362548828,497.2087097167969,17.8
